Type3-H10,,
T,U,F
0.0,-0.0,-0.0
0.00999999977648,0.100000709295,0.0499722957611
0.019999999553,0.200002536178,0.126026704907
0.0299999993294,0.299997746944,0.289644181728
0.0399999991059,0.400003761053,0.462969332933
0.0500000007451,0.499981820583,0.632102370262
0.0599999986589,0.599995732307,0.79893219471
0.070000000298,0.699986338615,0.966750979424
0.0799999982119,0.80004632473,1.13200175762
0.0900000035763,0.900077581406,1.2953312397
0.10000000149,1.0000950098,1.45849299431
0.109999999404,1.10006761551,1.62154519558
0.119999997318,1.2000079155,1.78103291988
0.129999995232,1.30000579357,1.94019508362
0.140000000596,1.40007090569,2.09886312485
0.15000000596,1.50012636185,2.25626349449
0.159999996424,1.60016012192,2.41269445419
0.170000001788,1.7001311779,2.56739187241
0.180000007153,1.80006349087,2.72169351578
0.189999997616,1.89999616146,2.87330532074
0.20000000298,1.99992799759,3.02575063705
0.209999993443,2.09985136986,3.17588281631
0.219999998808,2.19973564148,3.3266453743
0.230000004172,2.29972600937,3.475004673
0.239999994636,2.3998169899,3.62338542938
0.25,2.49993753433,3.77039599419
0.259999990463,2.60004496574,3.91656732559
0.270000010729,2.70013475418,4.06170272827
0.280000001192,2.80019187927,4.20626354218
0.289999991655,2.9001994133,4.34998321533
0.300000011921,3.00013208389,4.49216890335
0.310000002384,3.10001134872,4.63383340836
0.319999992847,3.19987297058,4.77435684204
0.330000013113,3.29973959923,4.91421175003
0.340000003576,3.39960622787,5.05345821381
0.34999999404,3.4994931221,5.19254302979
0.360000014305,3.59936714172,5.33130455017
0.370000004768,3.69925093651,5.47145938873
0.379999995232,3.79911112785,5.61005878448
0.389999985695,3.89900279045,5.7477889061
0.40000000596,3.99887537956,5.88475847244
0.409999996424,4.09884166718,6.02136135101
0.419999986887,4.19892263412,6.15728569031
0.430000007153,4.29897022247,6.2926530838
0.439999997616,4.39930486679,6.42748451233
0.449999988079,4.49960041046,6.56167507172
0.460000008345,4.5997877121,6.69504117966
0.469999998808,4.69978618622,6.82751846313
0.479999989271,4.79978656769,6.95936632156
0.490000009537,4.89978599548,7.09054613113
0.5,4.9997844696,7.22114181519
0.509999990463,5.09978246689,7.35114955902
0.519999980927,5.19977903366,7.48059606552
0.52999997139,5.2997713089,7.61006355286
0.540000021458,5.39976501465,7.74015283585
0.550000011921,5.49974870682,7.86925601959
0.560000002384,5.59973144531,7.99719619751
0.569999992847,5.6997051239,8.12440013885
0.579999983311,5.7996673584,8.25077629089
0.589999973774,5.89962244034,8.37684822083
0.600000023842,5.99956035614,8.5024471283
0.610000014305,6.09945201874,8.62803554535
0.620000004768,6.19933414459,8.75353527069
0.629999995232,6.29918289185,8.87801933289
0.639999985695,6.39901351929,9.00222682953
0.649999976158,6.49885082245,9.12572288513
0.660000026226,6.59867095947,9.24911117554
0.670000016689,6.69846725464,9.37187767029
0.680000007153,6.79827547073,9.49411582947
0.689999997616,6.89804267883,9.61621856689
0.699999988079,6.99760913849,9.73750686646
0.709999978542,7.09721136093,9.8579082489
0.72000002861,7.19681549072,9.97848987579
0.730000019073,7.29644584656,10.0986642838
0.740000009537,7.39609575272,10.2184505463
0.75,7.49575328827,10.3391342163
0.759999990463,7.59541988373,10.4605512619
0.769999980927,7.69511222839,10.5835151672
0.77999997139,7.79487991333,10.7074127197
0.790000021458,7.89463043213,10.8313312531
0.800000011921,7.99440050125,10.9550218582
0.810000002384,8.09427165985,11.0784263611
0.819999992847,8.19418144226,11.2011499405
0.829999983311,8.29409790039,11.3238201141
0.839999973774,8.39405632019,11.4477710724
0.850000023842,8.49405097961,11.572435379
0.860000014305,8.59408283234,11.6976642609
0.870000004768,8.69406890869,11.8220214844
0.879999995232,8.79413604736,11.946018219
0.889999985695,8.89477920532,12.0710639954
0.899999976158,8.99543380737,12.1946878433
0.910000026226,9.09602546692,12.3176116943
0.920000016689,9.19663333893,12.4417629242
0.930000007153,9.29718399048,12.5654230118
0.939999997616,9.39775180817,12.6898841858
0.949999988079,9.49823188782,12.8143053055
0.959999978542,9.59873771667,12.9380207062
0.97000002861,9.69922733307,13.0611858368
0.980000019073,9.79964447021,13.1843605042
0.990000009537,9.90015602112,13.306602478
1.0,10.0005979538,13.4292554855
